6558.0, 8702, 
6558.002, 8700, 
6558.004, 8699, 
6558.006, 8697, 
6558.008, 8696, 
6558.01, 8695, 
6558.012, 8693, 
6558.014, 8692, 
6558.016, 8690, 
6558.018, 8689, 
6558.02, 8688, 
6558.022, 8687, 
6558.024, 8686, 
6558.026, 8684, 
6558.028, 8683, 
6558.03, 8681, 
6558.032, 8680, 
6558.034, 8679, 
6558.036, 8678, 
6558.038, 8677, 
6558.04, 8675, 
6558.042, 8674, 
6558.044, 8672, 
6558.046, 8670, 
6558.048, 8668, 
6558.05, 8666, 
6558.052, 8664, 
6558.054, 8662, 
6558.056, 8659, 
6558.058, 8657, 
6558.06, 8655, 
6558.062, 8652, 
6558.064, 8650, 
6558.066, 8647, 
6558.068, 8646, 
6558.07, 8643, 
6558.072, 8641, 
6558.074, 8639, 
6558.076, 8636, 
6558.078, 8633, 
6558.08, 8631, 
6558.082, 8629, 
6558.084, 8627, 
6558.086, 8625, 
6558.088, 8623, 
6558.09, 8621, 
6558.092, 8619, 
6558.094, 8617, 
6558.096, 8616, 
6558.098, 8615, 
6558.1, 8613, 
6558.102, 8611, 
6558.104, 8609, 
6558.106, 8607, 
6558.108, 8605, 
6558.11, 8603, 
6558.112, 8600, 
6558.114, 8597, 
6558.116, 8594, 
6558.118, 8591, 
6558.12, 8588, 
6558.122, 8585, 
6558.124, 8581, 
6558.126, 8577, 
6558.128, 8572, 
6558.13, 8567, 
6558.132, 8563, 
6558.134, 8558, 
6558.136, 8553, 
6558.138, 8547, 
6558.14, 8542, 
6558.142, 8537, 
6558.144, 8531, 
6558.146, 8527, 
6558.148, 8522, 
6558.15, 8518, 
6558.152, 8514, 
6558.154, 8511, 
6558.156, 8508, 
6558.158, 8506, 
6558.16, 8505, 
6558.162, 8504, 
6558.164, 8504, 
6558.166, 8505, 
6558.168, 8507, 
6558.17, 8510, 
6558.172, 8513, 
6558.174, 8515, 
6558.176, 8519, 
6558.178, 8523, 
6558.18, 8527, 
6558.182, 8531, 
6558.184, 8536, 
6558.186, 8539, 
6558.188, 8543, 
6558.19, 8548, 
6558.192, 8551, 
6558.194, 8555, 
6558.196, 8560, 
6558.198, 8563, 
6558.2, 8567, 
6558.202, 8571, 
6558.204, 8575, 
6558.206, 8578, 
6558.208, 8582, 
6558.21, 8586, 
6558.212, 8588, 
6558.214, 8592, 
6558.216, 8596, 
6558.218, 8599, 
6558.22, 8602, 
6558.222, 8605, 
6558.224, 8608, 
6558.226, 8610, 
6558.228, 8612, 
6558.23, 8615, 
6558.232, 8618, 
6558.234, 8620, 
6558.236, 8622, 
6558.238, 8625, 
6558.24, 8627, 
6558.242, 8629, 
6558.244, 8631, 
6558.246, 8633, 
6558.248, 8635, 
6558.25, 8638, 
6558.252, 8640, 
6558.254, 8641, 
6558.256, 8643, 
6558.258, 8645, 
6558.26, 8647, 
6558.262, 8649, 
6558.264, 8652, 
6558.266, 8652, 
6558.268, 8654, 
6558.27, 8656, 
6558.272, 8657, 
6558.274, 8659, 
6558.276, 8661, 
6558.278, 8661, 
6558.28, 8662, 
6558.282, 8662, 
6558.284, 8663, 
6558.286, 8664, 
6558.288, 8664, 
6558.29, 8664, 
6558.292, 8664, 
6558.294, 8663, 
6558.296, 8663, 
6558.298, 8663, 
6558.3, 8662, 
6558.302, 8662, 
